iter	Passed	Remaining
0	1	99
1	2	106
2	4	129
3	4	118
4	6	117
5	7	115
6	8	118
7	10	118
8	11	114
9	12	111
10	13	110
11	15	110
12	17	116
13	18	115
14	20	114
15	21	114
16	23	112
17	24	110
18	25	108
19	27	110
20	29	109
21	30	109
22	32	109
23	34	107
24	35	105
25	36	104
26	38	104
27	40	103
28	42	102
29	43	101
30	45	100
31	46	98
32	47	97
33	49	95
34	50	94
35	52	93
36	53	91
37	55	90
38	56	88
39	57	86
40	59	85
41	60	82
42	61	81
43	63	81
44	65	79
45	66	78
46	67	76
47	69	74
48	70	73
49	71	71
50	73	70
51	75	69
52	77	68
53	78	66
54	79	65
55	81	63
56	82	62
57	83	60
58	85	59
59	87	58
60	90	57
61	92	56
62	94	55
63	95	53
64	97	52
65	98	50
66	101	49
67	102	48
68	103	46
69	105	45
70	106	43
71	107	41
72	109	40
73	111	39
74	113	37
75	114	36
76	115	34
77	117	33
78	119	31
79	120	30
80	121	28
81	123	27
82	125	25
83	126	24
84	128	22
85	129	21
86	131	19
87	132	18
88	133	16
89	135	15
90	136	13
91	138	12
92	139	10
93	141	9
94	142	7
95	143	5
96	144	4
97	146	2
98	147	1
99	149	0
